[1758212, 13042, 'REJECT']
[1771256, 10248, 'BLOCKMAP']
[1781504, 0, 'E2M8']
[1781504, 660, 'THINGS']
[1782164, 3052, 'LINEDEFS']
[1785216, 8340, 'SIDEDEFS']
[1793556, 864, 'VERTEXES']
[1794420, 3720, 'SEGS']
[1798140, 520, 'SSECTORS']
[1798660, 3612, 'NODES']
[1802272, 702, 'SECTORS']
[1802976, 92, 'REJECT']
[1803068, 7164, 'BLOCKMAP']
[1810232, 0, 'E2M9']
[1810232, 530, 'THINGS']
[1810764, 2324, 'LINEDEFS']
[1813088, 5940, 'SIDEDEFS']
[1819028, 640, 'VERTEXES']
[1819668, 2508, 'SEGS']
[1822176, 272, 'SSECTORS']
[1822448, 1876, 'NODES']
[1824324, 494, 'SECTORS']
[1824820, 46, 'REJECT']
[1824868, 3576, 'BLOCKMAP']
[1828444, 0, 'E3M1']
[1828444, 920, 'THINGS']
[1829364, 2912, 'LINEDEFS']
[1832276, 8220, 'SIDEDEFS']
[1840496, 776, 'VERTEXES']
[1841272, 3576, 'SEGS']
[1844848, 376, 'SSECTORS']
[1845224, 2604, 'NODES']
[1847828, 1014, 'SECTORS']
[1848844, 191, 'REJECT']
[1849036, 5056, 'BLOCKMAP']
[1854092, 0, 'E3M2']
[1854092, 2080, 'THINGS']
[1856172, 6916, 'LINEDEFS']
[1863088, 18750, 'SIDEDEFS']
[1881840, 2124, 'VERTEXES']
[1883964, 8808, 'SEGS']
[1892772, 1148, 'SSECTORS']
[1893920, 8008, 'NODES']
[1901928, 1768, 'SECTORS']
[1903696, 578, 'REJECT']
[1904276, 6984, 'BLOCKMAP']
[1911260, 0, 'E3M3']
[1911260, 2090, 'THINGS']
[1913352, 15428, 'LINEDEFS']
[1928780, 41820, 'SIDEDEFS']
[1970600, 3944, 'VERTEXES']
[1974544, 17736, 'SEGS']
[1992280, 1764, 'SSECTORS']
[1994044, 12320, 'NODES']
[2006364, 4992, 'SECTORS']
[2011356, 4608, 'REJECT']
[2015964, 7754, 'BLOCKMAP']
[2023720, 0, 'E3M4']
[2023720, 3740, 'THINGS']
[2027460, 15386, 'LINEDEFS']
[2042848, 41070, 'SIDEDEFS']
[2083920, 4108, 'VERTEXES']
[2088028, 17976, 'SEGS']
[2106004, 1896, 'SSECTORS']
[2107900, 13244, 'NODES']
[2121144, 4836, 'SECTORS']
[2125980, 4325, 'REJECT']
[2130308, 9802, 'BLOCKMAP']
[2140112, 0, 'E3M5']
[2140112, 2910, 'THINGS']
[2143024, 19824, 'LINEDEFS']
[2162848, 55380, 'SIDEDEFS']
[2218228, 4888, 'VERTEXES']
[2223116, 23244, 'SEGS']
[2246360, 2240, 'SSECTORS']
[2248600, 15652, 'NODES']
[2264252, 6968, 'SECTORS']
[2271220, 8978, 'REJECT']
[2280200, 13132, 'BLOCKMAP']
[2293332, 0, 'E3M6']
[2293332, 3350, 'THINGS']
[2296684, 9618, 'LINEDEFS']
[2306304, 28470, 'SIDEDEFS']
[2334776, 2764, 'VERTEXES']
[2337540, 13296, 'SEGS']
[2350836, 1640, 'SSECTORS']
[2352476, 11452, 'NODES']
[2363928, 3250, 'SECTORS']
[2367180, 1954, 'REJECT']
[2369136, 21418, 'BLOCKMAP']
[2390556, 0, 'E3M7']
[2390556, 1540, 'THINGS']
[2392096, 13748, 'LINEDEFS']
[2405844, 37410, 'SIDEDEFS']
[2443256, 3536, 'VERTEXES']
[2446792, 15948, 'SEGS']
[2462740, 1896, 'SSECTORS']
[2464636, 13244, 'NODES']
[2477880, 4316, 'SECTORS']
[2482196, 3445, 'REJECT']
[2485644, 9664, 'BLOCKMAP']
[2495308, 0, 'E3M8']
[2495308, 580, 'THINGS']
[2495888, 1708, 'LINEDEFS']
[2497596, 5190, 'SIDEDEFS']
[2502788, 540, 'VERTEXES']
[2503328, 2448, 'SEGS']
[2505776, 312, 'SSECTORS']
[2506088, 2156, 'NODES']
[2508244, 442, 'SECTORS']
[2508688, 37, 'REJECT']
[2508728, 6808, 'BLOCKMAP']
[2515536, 0, 'E3M9']
[2515536, 1970, 'THINGS']
[2517508, 6636, 'LINEDEFS']
[2524144, 17670, 'SIDEDEFS']
